id,first_name,last_name,patronymic,date_of_birth
,Галина,Гавришкевич,Петрівна,1928-01-25
,Орися,Демʼянчук,Яремівна,2013-12-02
,Віолетта,Яковенко,Глібівна,2016-03-29
,Ілля,Жадан,Арсенович,1929-09-04
,Геннадій,Фартушняк,Данилівна,1998-01-17
,Марина,Давимука,Глібівна,1965-09-28
,Марʼяна,Їжакевич,Панасівна,1924-09-20
,Камілла,Вергун,Пантелеймонівна,1945-04-03
,Юстим,Тимчук,Демидович,1982-09-07
,Болеслав,Романець,Богуславівна,2018-10-02
,Демʼян,Гречко,Веніяминівна,1968-10-25
,Людмила,Павлик,Пилипівна,1940-02-06
,Данна,Канівець,Давидівна,1931-10-26
,Ігор,Михалюк,Охрімівна,1974-10-28
,Алла,Зайченко,Зорянівна,2014-08-29
,Прохір,Бабак,Станіславович,1945-07-19
,Ярема,Валенко,Едуардович,1929-03-31
,Орхип,Козак,Валентинівна,1976-09-14
,Одарка,Козак,Леонідівна,1980-05-11
,Федір,Гузій,Геннадіївна,1988-11-01
,Галина,Лаба,Богуславівна,1949-11-14
,Марта,Даценко,Віталіївна,1956-02-01
,Адам,Башполченко,Владиславівна,1959-02-15
,Зорян,Чуйко,Миронівна,1957-12-05
,Едита,Лисенко,Данилівна,1929-08-13
,Мартин,Яремко,Лукʼянович,1935-10-19
,Богуслава,Хмара,Адамівна,1963-08-27
,Леонід,Макаренко,Феофанівна,1969-01-31
,Данна,Аверченко,Остапівна,1977-06-13
,Теодор,Жайворон,Миколаївна,1933-02-08
,Федір,Швачка,Тарасович,1985-10-16
,Христина,Фаренюк,Леонтіївна,1932-01-12
,Трохим,Заїка,Григоріївна,2009-09-30
,Едита,Шаповал,Едуардівна,2015-03-29
,Орина,Данькевич,Климентівна,1942-08-24
,Орхип,Сірченко,Геннадійович,2001-08-23
,Марта,Ковпак,Аврелійовна,1955-06-01
,Наталія,Семенченко,Охрімівна,1993-07-01
,Трохим,Скирда,Максимівна,1944-04-24
,Аліна,Авраменко,Олегівна,1935-12-17
,Ада,Ґоляш,Васильівна,1990-01-19
,Варфоломій,Жаліло,Вʼячеславівна,1937-11-07
,Богдан,Асаула,Васильівна,1999-07-30
,Наталія,Доценко,Омелянівна,1924-06-02
,Роман,Оліфіренко,Бориславівна,1975-11-29
,Оксенія,Шовкопляс,Болеславівна,2003-02-09
,Маруся,Вітер,Августинівна,1977-04-22
,Галина,Чубай,Артемівна,1964-04-30
