id,first_name,last_name,patronymic,birth_date,phone_number,email
1,Ярослав,Тарасенко,Герман,1974-10-30,+380 29 262-88-90,haivoronskaorest@example.org
2,Розалія,Голобородько,Емілія,1987-11-08,055 140-86-22,myroslavchernenko@example.com
3,Семен,Дацюк,Дмитро,1981-03-17,042 187 19 59,azar58@example.org
4,Хома,Аверченко,Семен,1966-04-29,075 955 12 01,atroshchenkoroman@example.com
5,Зиновій,Влох,Аркадій,2003-05-24,070 625 24 90,bohdannalesyk@example.com
6,Ада,Парасюк,Богодар,1973-10-24,+380 56 541-24-49,heorhii73@example.net
7,Захар,Вернидуб,Одарка,1997-03-30,339 00 25,zisaienko@example.org
8,Лукʼян,Засуха,Орест,1980-05-04,077 652-48-72,petrenkostepan@example.org
9,Григорій,Артюх,Зиновій,1986-03-27,+380 74 356-25-38,bevziosyp@example.com
10,Віолетта,Голик,Олесь,2001-02-05,+380 95 839 60 51,nestordurdynets@example.org
11,Клавдія,Венгринович,Надія,1961-11-26,938 31 03,rudykvarvara@example.org
12,Сергій,Корбут,Андрій,1970-01-24,225-52-88,anzhela97@example.org
13,Борис,Дараган,Едуард,1989-12-19,+380 (88) 054-33-61,dnazarenko@example.com
14,Ярина,Кибкало,Емілія,1977-07-18,025 712 68 22,albinachaban@example.net
15,Орися,Батуринець,Ольга,2003-12-19,+380 56 395-39-28,volodymyr62@example.net
16,Алевтин,Штокало,Демʼян,2004-09-06,058 179-73-90,vadymliashko@example.com
17,Станіслав,Гайдабура,Михайло,1971-04-05,070 222 69 71,martyn84@example.com
18,Сергій,Зайченко,Василь,1977-06-21,678 73 35,panchukirena@example.net
19,Леонтій,Ященко,Тарас,1985-06-24,+380 18 888-07-45,iaremavyshniak@example.com
20,Богдан,Левченко,Лариса,1964-09-15,925 90 43,albinafranko@example.com
21,Ярина,Вдовиченко,Любов,1978-09-03,906-67-78,azhazhaveniiamyn@example.net
22,Віталій,Акуленко,Остап,1971-01-05,497-01-95,skoryksofiia@example.com
23,Трохим,Бгиденко,Климент,2002-04-07,+380 41 223 91 13,olha96@example.org
24,Августин,Дзюба,Святослава,1972-08-16,262-54-64,oleksandrshmorhun@example.org
25,Єфрем,Гайдамака,Орхип,1965-10-06,665-93-37,oleszabila@example.com
26,Надія,Шеремета,Орхип,1977-06-08,+380 76 007-15-56,priska91@example.org
27,Василь,Жук,Одарка,1992-05-21,+380 59 446-15-53,prymachenkoopanas@example.org
28,Остап,Гавриленко,Алла,1967-12-04,001 119 05 28,myronlysenko@example.net
29,Галина,Алексюк,Панас,1995-09-26,+380 (14) 449-90-16,panchuknestor@example.org
30,Семен,Ткач,Вʼячеслав,1987-01-25,041 531 58 45,verkholakhrystyna@example.com
31,Йосип,Фоменко,Трохим,1970-10-25,+380 29 653-81-44,yasaula@example.net
32,Єфрем,Чміль,Ірина,1996-09-16,+380 (90) 342-28-18,leonshukhevych@example.com
33,Роксолана,Тимченко,Семен,1976-08-19,+380 28 119 79 73,serhiimiroshnychenko@example.net
34,Захар,Яремчук,Альбіна,1988-04-18,513 05 10,nadamchuk@example.net
35,Василь,Валенко,Прохір,1974-08-26,368 36 05,yhunko@example.org
36,Леон,Демʼянюк,Одарка,1970-05-05,+380 21 432 17 43,ytverdokhlib@example.org
37,Максим,Тиха,Алевтин,1963-07-29,+380 (36) 619-62-70,lchernenko@example.com
38,Максим,Бабариченко,Христина,1960-02-25,059 845 91 49,demydiaremchuk@example.net
39,Демид,Чуйко,Маруся,1990-05-16,043 474 63 70,uzubko@example.org
40,Роман,Атаманчук,Зиновій,1972-12-19,+380 98 439 83 24,cvlasiuk@example.org
41,Марта,Чубай,Федір,1974-12-18,+380 01 048-84-07,marko47@example.net
